Site,Treatment,Plot,Date_field_collected,Date_data_entry,Latitude,Longitude,Comments
BRIM ,MOW,P01,2021-05-27,2021-05-30,N 43° 46.773',W 79° 13.470',Data entry by AS
BRIM ,MOW,P03,2021-05-27,2021-05-30,N 43° 46.463',W 79° 13.459',Data entry by AS
BRIM ,MOW,P05,2021-05-27,2021-05-30,N 43° 46.455',W 79° 13.447',Data entry by AS
BRIM ,MOW,P11,2021-05-27,2021-05-30,N 43° 46.481',W 79° 13.459',Data entry by AS
BRIM ,MOW,P13,2021-05-27,2021-05-30,N 43° 46.471',W 79° 13.446',Data entry by AS
BRIM ,MOW,P15,2021-05-27,2021-05-30,N 43° 46.462',W 79° 13.435',Data entry by AS
BRIM ,MOW,P21,2021-05-27,2021-05-30,N 43° 46.489',W 79° 13.444',Data entry by AS
BRIM ,MOW,P23,2021-05-27,2021-05-30,N 43° 46.480',W 79° 13.431',Data entry by AS
BRIM ,MOW,P25,2021-05-27,2021-05-30,N 43° 46.472',W 79° 13.421',Data entry by AS
